ward_id,sensor_id,timestamp,lat,lon,temperature_c,humidity_pct,pm25,rainfall_mm
12,SENSOR-0001,2026-04-09T13:33:02.170822Z,12.9756,77.605,31.62,33.76,39.47,0.0
27,SENSOR-0002,2026-04-09T13:33:02.313480Z,12.9352,77.6245,31.47,39.87,22.67,0.05
33,SENSOR-0003,2026-04-09T13:33:02.456936Z,12.9116,77.6389,30.98,42.12,31.75,0.04
45,SENSOR-0004,2026-04-09T13:33:02.601621Z,12.8452,77.6602,31.5,42.35,43.27,0.0
58,SENSOR-0005,2026-04-09T13:33:02.745298Z,12.9698,77.75,30.52,35.41,16.78,0.0
71,SENSOR-0006,2026-04-09T13:33:02.886738Z,13.0359,77.597,30.84,32.59,28.35,0.0
89,SENSOR-0007,2026-04-09T13:33:03.029714Z,13.1007,77.5963,30.38,32.55,22.87,0.0
102,SENSOR-0008,2026-04-09T13:33:03.173019Z,13.0287,77.52,30.48,36.34,25.26,0.02
115,SENSOR-0009,2026-04-09T13:33:03.313598Z,12.9916,77.5529,31.46,35.22,33.02,0.0
130,SENSOR-0010,2026-04-09T13:33:03.453850Z,12.925,77.5938,31.59,42.26,38.41,0.02
12,SENSOR-0001,2026-04-09T13:33:07.629903Z,12.9756,77.605,31.55,35.82,18.07,0.05
27,SENSOR-0002,2026-04-09T13:33:07.773196Z,12.9352,77.6245,32.38,40.37,14.99,0.0
33,SENSOR-0003,2026-04-09T13:33:07.917678Z,12.9116,77.6389,31.33,43.44,29.76,0.0
45,SENSOR-0004,2026-04-09T13:33:08.064599Z,12.8452,77.6602,31.24,42.23,19.37,0.03
58,SENSOR-0005,2026-04-09T13:33:08.209460Z,12.9698,77.75,30.93,37.21,33.62,0.04
71,SENSOR-0006,2026-04-09T13:33:08.351656Z,13.0359,77.597,30.65,34.46,18.21,0.11
89,SENSOR-0007,2026-04-09T13:33:08.495841Z,13.1007,77.5963,30.12,35.96,33.01,0.0
102,SENSOR-0008,2026-04-09T13:33:08.643857Z,13.0287,77.52,30.87,34.31,21.16,0.0
115,SENSOR-0009,2026-04-09T13:33:08.787691Z,12.9916,77.5529,30.5,38.7,32.03,0.0
130,SENSOR-0010,2026-04-09T13:33:08.931044Z,12.925,77.5938,31.38,42.41,25.26,0.0
12,SENSOR-0001,2026-04-09T13:33:13.102855Z,12.9756,77.605,31.26,34.99,36.96,0.02
27,SENSOR-0002,2026-04-09T13:33:13.247271Z,12.9352,77.6245,31.06,42.93,33.32,0.0
33,SENSOR-0003,2026-04-09T13:33:13.389077Z,12.9116,77.6389,32.19,40.49,47.34,0.0
45,SENSOR-0004,2026-04-09T13:33:13.530521Z,12.8452,77.6602,31.25,41.12,32.22,0.07
58,SENSOR-0005,2026-04-09T13:33:13.675267Z,12.9698,77.75,31.42,39.58,33.9,0.0
71,SENSOR-0006,2026-04-09T13:33:13.817914Z,13.0359,77.597,31.03,32.17,30.52,0.02
89,SENSOR-0007,2026-04-09T13:33:13.961053Z,13.1007,77.5963,30.32,35.04,28.72,0.0
102,SENSOR-0008,2026-04-09T13:33:14.101618Z,13.0287,77.52,30.05,32.53,17.12,0.05
115,SENSOR-0009,2026-04-09T13:33:14.246225Z,12.9916,77.5529,30.38,36.94,39.21,0.0
130,SENSOR-0010,2026-04-09T13:33:14.388559Z,12.925,77.5938,31.0,41.47,26.17,0.06
12,SENSOR-0001,2026-04-09T13:33:15.614542Z,12.9756,77.605,30.99,33.88,47.91,0.061
27,SENSOR-0002,2026-04-09T13:33:15.758287Z,12.9352,77.6245,31.98,41.77,46.1,0.061
33,SENSOR-0003,2026-04-09T13:33:15.901040Z,12.9116,77.6389,31.52,41.15,23.6,0.103
45,SENSOR-0004,2026-04-09T13:33:16.041195Z,12.8452,77.6602,31.07,40.02,35.18,0.031
58,SENSOR-0005,2026-04-09T13:33:16.185315Z,12.9698,77.75,31.32,37.24,26.13,0.02
71,SENSOR-0006,2026-04-09T13:33:16.326939Z,13.0359,77.597,31.18,35.42,26.28,0.014
89,SENSOR-0007,2026-04-09T13:33:16.469659Z,13.1007,77.5963,30.89,33.88,56.57,0.021
102,SENSOR-0008,2026-04-09T13:33:16.611597Z,13.0287,77.52,30.51,34.69,20.17,0.012
115,SENSOR-0009,2026-04-09T13:33:16.754443Z,12.9916,77.5529,30.55,35.99,31.8,0.07
130,SENSOR-0010,2026-04-09T13:33:16.897537Z,12.925,77.5938,31.1,40.02,35.39,0.097
12,SENSOR-0001,2026-04-09T13:33:21.068400Z,12.9756,77.605,31.0,33.64,46.27,0.067
27,SENSOR-0002,2026-04-09T13:33:21.209388Z,12.9352,77.6245,31.23,39.46,37.57,0.01
33,SENSOR-0003,2026-04-09T13:33:21.352522Z,12.9116,77.6389,31.06,39.47,28.98,0.043
45,SENSOR-0004,2026-04-09T13:33:21.492944Z,12.8452,77.6602,31.4,40.0,46.48,0.004
58,SENSOR-0005,2026-04-09T13:33:21.636392Z,12.9698,77.75,30.68,38.92,25.65,0.054
71,SENSOR-0006,2026-04-09T13:33:21.776261Z,13.0359,77.597,31.66,33.22,26.66,0.062
89,SENSOR-0007,2026-04-09T13:33:21.917405Z,13.1007,77.5963,30.96,35.92,23.28,0.035
102,SENSOR-0008,2026-04-09T13:33:22.060982Z,13.0287,77.52,30.85,38.38,80.88,0.092
115,SENSOR-0009,2026-04-09T13:33:22.205069Z,12.9916,77.5529,31.11,34.68,33.33,0.023
130,SENSOR-0010,2026-04-09T13:33:22.348707Z,12.925,77.5938,31.81,40.65,44.34,0.012
12,SENSOR-0001,2026-04-09T13:33:26.521720Z,12.9756,77.605,31.92,33.19,14.04,0.01
27,SENSOR-0002,2026-04-09T13:33:26.668464Z,12.9352,77.6245,31.48,42.03,42.58,0.03
33,SENSOR-0003,2026-04-09T13:33:26.812704Z,12.9116,77.6389,31.63,38.91,32.62,0.028
45,SENSOR-0004,2026-04-09T13:33:26.954738Z,12.8452,77.6602,31.02,38.0,25.75,0.036
58,SENSOR-0005,2026-04-09T13:33:27.099151Z,12.9698,77.75,31.41,41.91,21.11,0.054
71,SENSOR-0006,2026-04-09T13:33:27.242329Z,13.0359,77.597,31.58,36.47,24.04,0.026
89,SENSOR-0007,2026-04-09T13:33:27.383004Z,13.1007,77.5963,30.87,32.77,12.52,0.014
102,SENSOR-0008,2026-04-09T13:33:27.527335Z,13.0287,77.52,31.26,32.67,64.37,0.01
115,SENSOR-0009,2026-04-09T13:33:27.672180Z,12.9916,77.5529,31.03,34.98,42.48,0.075
130,SENSOR-0010,2026-04-09T13:33:27.816999Z,12.925,77.5938,30.93,40.42,14.54,0.021
